"timestamp","session_id","request_id","tag_id","domain_string","url_string","device_type","browser_brand","lcp","fcp","cls","inp","ttfb"
"2024-03-29 13:29:12.279939","83040935-7bf4-4aaf-89c9-0644677b23cc","3acae541-7f14-4ca6-a932-91edf6625cce","cGbonAJm","auditzy.com","/blog/interaction-to-next-paint-inp-a-comprehensive-guide-for-better-web-performance","desktop","Chromium",2140,2140,"0.4736776682708106",0,613
"2024-03-30 03:55:31.352411","4181e35a-986a-4cf6-8370-e193a17b7abf","87d5f79a-4f9f-48c0-80f8-dbc038c5beab","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","mobile","Google Chrome",1540,1540,"0",192,23
"2024-03-30 09:51:51.903158","4e6cd0d3-f399-4eb4-8832-25b1293ec388","6839ed1e-55db-449b-91e8-d4ca3d01268c","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",1063,755,"0.0170944157654626",72,404
"2024-03-30 10:02:32.964861","4e6cd0d3-f399-4eb4-8832-25b1293ec388","04431ccc-b560-40db-9cba-5ac39df86c38","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",763,763,"0.17287833763474483",144,213
"2024-03-30 16:47:16.590485","8b256ecb-dcff-48a1-9283-dbb42abb8768","7d131653-e896-4621-92bf-ed358a0de975","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",6368,6368,"0",192,1509
"2024-03-30 23:43:53.209363","10a63230-73c6-4985-8018-6a3740bca5ac","0aed0c12-9eb3-400d-8d91-5881099c769e","cGbonAJm","auditzy.com","/","desktop","Google Chrome",529,529,"0",16,356
"2024-03-31 07:09:44.772772","45941117-2331-4179-8fcb-d4a04505cce7","484aaab8-f400-4dd9-a155-402ad7a0a5d0","cGbonAJm","auditzy.com","/features/website-technology-checker","desktop","Google Chrome",22,22,"0",0,0
"2024-03-31 11:40:59.296276","84e1a792-5979-4341-936a-a99b1b1da6e5","0f659ef8-7aaa-4d3e-a638-53ffd7287d71","cGbonAJm","auditzy.com","/","desktop","Google Chrome",1086,1086,"0.05638251929771176",40,667
"2024-03-31 12:52:26.587187","f634a858-a727-4446-9bb0-a7e80959f8c3","1b8523ed-d69c-4974-8884-035a7ad8ccf8","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",1432,1432,"0",144,0
"2024-03-31 13:04:44.546215","8617bc4a-dda1-452a-830b-400d1ab13cba","6c047465-15bd-42af-b4b8-20c4737bb5b5","cGbonAJm","auditzy.com","/","desktop","Chromium",576,576,"0.054353329300085206",56,440
"2024-04-01 02:14:25.118552","efbb448c-c808-4beb-a8e9-c82af8f7402f","bd1209d4-40d6-4dab-b4a9-334e9c3e81eb","cGbonAJm","auditzy.com","/","mobile","Google Chrome",483,483,"0",16,254
"2024-04-01 02:19:11.762706","b349b2a3-1c1a-46f6-826d-3976f8a60096","3ab6f465-0d08-415b-a9f0-7277da38d0a0","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",2751,2751,"0",128,0
"2024-04-01 02:48:54.141136","c9821f03-882d-4672-98d7-3e0650450652","636e6c7e-acad-4d30-802b-a5717cc1899b","cGbonAJm","auditzy.com","/","mobile","Google Chrome",1096,1096,"0.15656538174779167",144,541
"2024-04-01 04:39:21.100979","916a5885-c7ae-4933-92b0-f05055e483e5","dc1ef450-06a8-4edf-ad88-c81cdd15be1a","cGbonAJm","auditzy.com","/","mobile","Google Chrome",73,74,"0.03456907255519215",128,0
